[2020-01-31T22:14:54.125+0300][0.012s][info][gc] Using Serial
[2020-01-31T22:14:54.627+0300][0.514s][info][gc] GC(0) Pause Young (Allocation Failure) 273M->122M(991M) 151.280ms
[2020-01-31T22:14:54.870+0300][0.757s][info][gc] GC(1) Pause Young (Allocation Failure) 396M->209M(991M) 187.362ms
[2020-01-31T22:14:55.058+0300][0.945s][info][gc] GC(2) Pause Young (Allocation Failure) 482M->298M(991M) 128.691ms
[2020-01-31T22:14:55.254+0300][1.141s][info][gc] GC(3) Pause Young (Allocation Failure) 572M->392M(991M) 136.964ms
[2020-01-31T22:14:55.437+0300][1.324s][info][gc] GC(4) Pause Young (Allocation Failure) 666M->485M(991M) 131.649ms
[2020-01-31T22:14:55.626+0300][1.514s][info][gc] GC(5) Pause Young (Allocation Failure) 758M->583M(991M) 138.044ms
[2020-01-31T22:14:55.687+0300][1.574s][info][gc] GC(6) Pause Young (Allocation Failure) 854M->549M(991M) 0.249ms
[2020-01-31T22:14:55.737+0300][1.624s][info][gc] GC(7) Pause Young (Allocation Failure) 819M->549M(991M) 0.246ms
[2020-01-31T22:14:55.788+0300][1.675s][info][gc] GC(8) Pause Young (Allocation Failure) 820M->549M(991M) 0.250ms
[2020-01-31T22:14:55.838+0300][1.725s][info][gc] GC(9) Pause Young (Allocation Failure) 819M->549M(991M) 0.251ms
[2020-01-31T22:14:55.888+0300][1.775s][info][gc] GC(10) Pause Young (Allocation Failure) 819M->549M(991M) 0.246ms
[2020-01-31T22:14:55.938+0300][1.825s][info][gc] GC(11) Pause Young (Allocation Failure) 819M->549M(991M) 0.253ms
[2020-01-31T22:14:55.988+0300][1.876s][info][gc] GC(12) Pause Young (Allocation Failure) 820M->549M(991M) 0.249ms
[2020-01-31T22:14:56.038+0300][1.925s][info][gc] GC(13) Pause Young (Allocation Failure) 819M->549M(991M) 0.251ms
[2020-01-31T22:14:56.090+0300][1.977s][info][gc] GC(14) Pause Young (Allocation Failure) 819M->549M(991M) 0.261ms
